# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-23T17:13:2.496 27.96 26.91 479.70 27.27 0.56 -0.48 0.63 -2.14 27.62 -0.27 220.81 -250.00 -194.56
2014-5-23T17:13:3.498 27.96 26.91 465.15 27.27 0.56 -0.48 0.63 -2.14 27.62 -0.27 -1.47 0.64 2.16
2014-5-23T17:13:4.499 27.55 26.94 465.15 27.27 0.56 -0.50 0.61 -2.14 27.62 -0.27 -1.47 0.64 2.16
2014-5-23T17:13:5.502 27.55 26.94 436.03 27.27 0.56 -0.50 0.61 -1.95 27.74 -0.06 0.87 -2.43 -2.94
2014-5-23T17:13:6.504 29.01 26.94 436.03 27.27 0.55 -0.48 0.63 -1.95 27.74 -0.06 0.87 -2.43 -2.94
2014-5-23T17:13:7.506 29.01 26.94 450.61 27.27 0.55 -0.48 0.63 -2.11 27.77 -0.31 0.87 -2.43 -2.94
