# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-23T17:12:49.723 29.24 26.84 465.10 27.19 0.03 -0.77 0.69 0.00 0.00 0.00 -69.48 56.27 55.63
2014-5-23T17:12:50.725 23.03 26.84 465.12 27.19 0.11 -0.83 0.47 6.56 21.67 4.85 2.79 4.75 3.43
2014-5-23T17:12:51.728 25.03 26.88 472.40 27.19 0.08 -0.88 0.47 6.90 21.61 4.58 -12.05 -5.21 -1.94
2014-5-23T17:12:52.732 25.79 26.88 472.39 27.19 0.13 -0.86 0.47 6.90 21.61 4.58 -12.05 -5.21 -1.94
2014-5-23T17:12:53.733 26.26 26.88 465.11 27.19 0.06 -0.86 0.47 6.90 21.61 4.58 -0.05 -11.78 -3.29
2014-5-23T17:12:54.736 28.46 26.88 465.13 27.19 -0.08 -0.92 0.53 7.63 19.71 6.10 3.96 1.40 -3.52
2014-5-23T17:12:55.739 28.73 26.88 465.13 27.19 -0.08 -0.92 0.53 7.63 19.71 6.10 3.96 1.40 -3.52
2014-5-23T17:12:56.744 28.89 26.91 465.13 27.19 -0.05 -0.92 0.53 8.09 17.21 8.67 -21.00 1.84 1.84
2014-5-23T17:12:57.745 29.07 26.91 465.13 27.19 -0.20 -0.92 0.53 8.09 17.21 8.67 -0.66 5.30 4.00
2014-5-23T17:12:58.747 28.91 26.91 479.70 27.19 -0.25 -0.86 0.44 12.21 12.24 13.79 220.81 -250.00 -194.56
