# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-23T17:16:1.712 28.14 29.09 583.40 29.73 -0.02 0.06 1.03 0.00 0.00 0.00 0 0 0
2014-5-23T17:16:2.715 28.27 29.09 583.40 29.73 -0.02 0.06 1.02 0.00 0.00 0.00 2.34 1.58 0.02
2014-5-23T17:16:3.716 28.27 29.09 583.40 29.73 -0.02 0.06 1.02 -9.16 4.12 6.47 2.34 1.58 0.02
2014-5-23T17:16:4.718 28.27 29.09 561.68 29.73 -0.02 0.06 1.02 -9.16 4.12 6.47 2.27 1.79 0.09
2014-5-23T17:16:5.721 29.01 29.13 561.68 29.73 -0.02 0.08 1.02 -9.16 4.12 6.47 2.27 1.79 0.09
2014-5-23T17:16:6.724 29.01 29.13 568.89 29.73 -0.02 0.08 1.02 -9.06 4.15 7.23 2.27 1.79 0.09
2014-5-23T17:16:7.727 29.37 29.16 568.89 29.73 -0.03 0.05 1.03 -9.06 4.15 7.23 2.27 1.80 -0.20
2014-5-23T17:16:8.728 29.37 29.16 554.46 29.73 -0.03 0.05 1.03 -9.25 4.24 6.65 2.27 1.80 -0.20
2014-5-23T17:16:9.730 29.74 29.16 554.46 29.73 -0.03 0.05 1.03 -9.25 4.24 6.65 2.37 1.66 -0.05
2014-5-23T17:16:10.731 29.74 29.16 554.46 29.73 -0.02 0.08 1.00 -9.31 4.09 6.65 2.37 1.66 -0.05
2014-5-23T17:16:11.736 29.74 29.16 539.98 29.73 -0.02 0.08 1.00 -9.31 4.09 6.65 -3.66 17.13 30.39
2014-5-23T17:16:12.738 29.98 29.16 539.98 29.73 0.42 -0.55 0.67 -9.31 4.09 6.65 -3.66 17.13 30.39
