# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T18:46:56.011 26.80 24.44 1715.79 24.85 -0.05 0.36 0.89 -5.92 20.48 -2.47 2.57 0.76 -1.41
2014-5-24T18:46:57.019 26.64 24.44 1708.54 24.85 -0.05 0.34 0.89 -6.01 20.48 -2.17 2.63 0.49 -1.40
2014-5-24T18:46:58.026 26.78 24.44 1708.51 24.85 -0.06 0.33 0.88 -6.01 20.48 -2.17 2.61 0.70 -1.36
2014-5-24T18:46:59.035 26.89 24.44 1708.51 24.85 -0.06 0.34 0.91 -5.86 20.39 -2.35 2.47 0.59 -1.40
2014-5-24T18:47:0.042 26.94 24.44 1708.55 24.85 -0.05 0.34 0.91 -5.86 20.39 -2.35 2.44 0.68 -1.46
2014-5-24T18:47:1.049 26.87 24.44 1694.06 24.85 -0.05 0.31 0.91 -6.10 20.20 -2.47 2.65 0.72 -1.39
2014-5-24T18:47:2.055 26.87 24.44 1694.12 24.85 -0.05 0.34 0.89 -6.10 20.20 -2.47 2.71 0.60 -1.33
2014-5-24T18:47:3.063 26.73 24.44 1701.37 24.85 -0.05 0.34 0.89 -6.13 20.29 -2.62 2.53 0.77 -1.35
2014-5-24T18:47:4.070 26.78 24.44 1701.33 24.85 -0.05 0.34 0.89 -6.13 20.29 -2.62 2.56 0.55 -1.52
2014-5-24T18:47:5.076 26.73 24.44 1708.57 24.85 -0.05 0.34 0.89 -6.04 20.29 -2.17 2.59 0.49 -1.21
2014-5-24T18:47:6.083 26.73 24.44 1708.55 24.85 -0.06 0.31 0.91 -6.04 20.29 -2.17 2.75 0.75 -1.29
2014-5-24T18:47:7.091 26.66 24.44 1679.57 24.85 -0.05 0.33 0.89 -6.04 20.45 -2.62 2.53 0.69 -1.33
2014-5-24T18:47:8.098 26.73 24.44 1679.55 24.85 -0.06 0.31 0.91 -6.04 20.45 -2.62 2.52 0.73 -1.50
2014-5-24T18:47:9.106 26.78 24.44 1701.29 24.85 -0.05 0.34 0.91 -6.38 20.23 -2.08 2.75 0.69 -1.45
2014-5-24T18:47:10.119 26.78 24.44 1701.29 24.85 -0.06 0.34 0.91 -6.38 20.23 -2.08 2.50 0.69 -1.28
2014-5-24T18:47:11.127 26.85 24.44 1701.24 24.85 -0.03 0.33 0.89 -6.07 20.29 -2.47 2.62 0.86 -1.44
2014-5-24T18:47:12.134 26.85 24.44 1701.24 24.85 -0.05 0.31 0.89 -6.07 20.29 -2.47 2.43 0.68 -1.37
