# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T23:25:2.784 26.49 23.63 779.93 23.99 -0.03 0.34 0.89 0.00 0.00 0.00 2.82 0.67 -1.25
2014-5-24T23:25:2.822 26.49 23.63 779.93 23.99 -0.03 0.34 0.89 0.00 0.00 0.00 2.82 0.67 -1.25
2014-5-24T23:25:3.792 24.65 23.63 779.91 23.99 -0.06 0.31 0.91 -6.29 21.00 -3.20 2.81 0.69 -1.10
2014-5-24T23:25:3.843 24.65 23.63 779.91 23.99 -0.06 0.31 0.91 -6.29 21.00 -3.20 2.81 0.69 -1.10
2014-5-24T23:25:4.797 26.01 23.63 787.15 23.99 -0.05 0.31 0.91 -6.29 21.00 -3.20 2.66 0.71 -1.26
2014-5-24T23:25:4.852 26.01 23.63 787.15 23.99 -0.05 0.31 0.91 -6.29 21.00 -3.20 2.66 0.71 -1.26
2014-5-24T23:25:5.804 26.06 23.63 787.14 23.99 -0.05 0.31 0.89 -6.13 20.81 -3.91 2.75 0.72 -1.07
2014-5-24T23:25:5.864 26.06 23.63 787.14 23.99 -0.05 0.31 0.89 -6.13 20.81 -3.91 2.76 0.70 -1.21
2014-5-24T23:25:6.811 26.06 23.63 779.91 23.99 -0.06 0.31 0.89 -6.13 20.81 -3.91 2.76 0.70 -1.21
2014-5-24T23:25:6.873 26.06 23.63 779.91 23.99 -0.06 0.31 0.89 -6.13 20.81 -3.91 2.76 0.70 -1.21
2014-5-24T23:25:7.818 26.12 23.63 779.91 23.99 -0.05 0.34 0.91 -6.26 21.06 -3.39 2.73 0.82 -1.18
2014-5-24T23:25:7.891 26.12 23.63 779.91 23.99 -0.05 0.34 0.91 -6.26 21.06 -3.39 2.73 0.82 -1.18
2014-5-24T23:25:8.823 26.22 23.63 779.91 23.99 -0.05 0.34 0.89 -6.26 21.06 -3.39 2.61 0.74 -1.05
2014-5-24T23:25:8.904 26.22 23.63 779.91 23.99 -0.05 0.34 0.89 -6.26 21.06 -3.39 2.61 0.74 -1.05
2014-5-24T23:25:9.829 26.24 23.63 779.89 23.99 -0.06 0.33 0.89 -6.50 20.87 -3.63 2.83 0.87 -1.11
2014-5-24T23:25:9.913 26.24 23.63 779.89 23.99 -0.06 0.33 0.89 -6.50 20.87 -3.63 2.74 0.82 -1.34
2014-5-24T23:25:10.836 26.24 23.63 808.82 24.05 -0.05 0.33 0.89 -6.50 20.87 -3.63 2.74 0.82 -1.34
2014-5-24T23:25:10.923 26.24 23.63 808.82 24.05 -0.05 0.33 0.89 -6.50 20.87 -3.63 2.74 0.82 -1.34
