# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T22:48:5.043 2.45 0.00 1849.21 25.45 -0.05 0.34 0.89 0.00 0.00 0.00 2.73 0.59 -1.13
2014-5-24T22:48:6.051 28.17 25.13 1849.27 25.45 -0.05 0.33 0.89 -5.80 20.75 -3.45 2.94 0.66 -1.05
2014-5-24T22:48:7.058 26.53 25.13 1827.50 25.45 -0.06 0.33 0.89 -5.80 20.75 -3.45 2.62 0.69 -1.14
2014-5-24T22:48:8.065 27.84 25.13 1827.44 25.45 -0.05 0.31 0.91 -5.77 20.81 -3.51 2.89 0.80 -1.17
2014-5-24T22:48:9.072 27.91 25.13 1856.46 25.45 -0.05 0.33 0.91 -5.77 20.81 -3.51 3.05 0.52 -1.22
2014-5-24T22:48:10.080 28.04 25.13 1856.44 25.45 -0.05 0.34 0.89 -5.83 20.81 -3.60 2.74 0.62 -1.01
2014-5-24T22:48:11.087 28.04 25.13 1834.67 25.45 -0.05 0.33 0.91 -5.83 20.81 -3.60 2.74 0.74 -1.08
2014-5-24T22:48:12.095 28.08 25.13 1834.67 25.45 -0.05 0.33 0.89 -5.80 20.90 -4.30 2.81 0.75 -1.20
2014-5-24T22:48:13.103 28.00 25.13 1863.70 25.45 -0.06 0.33 0.91 -5.80 20.90 -4.30 2.79 0.59 -1.23
2014-5-24T22:48:14.110 28.11 25.13 1863.70 25.45 -0.05 0.33 0.91 -5.83 20.72 -3.72 2.79 0.60 -1.24
2014-5-24T22:48:15.118 28.11 25.13 1863.72 25.45 -0.05 0.36 0.89 -5.83 20.72 -3.72 2.68 0.46 -1.23
2014-5-24T22:48:16.125 28.08 25.13 1856.46 25.45 -0.06 0.33 0.91 -5.83 20.66 -3.88 2.85 0.58 -1.27
2014-5-24T22:48:17.134 28.08 25.13 1856.40 25.45 -0.06 0.33 0.91 -5.83 20.66 -3.88 2.70 0.69 -1.19
2014-5-24T22:48:18.140 28.15 25.13 1856.40 25.45 -0.05 0.34 0.89 -5.92 20.78 -3.91 2.78 0.53 -0.95
2014-5-24T22:48:19.147 28.04 25.13 1856.42 25.45 -0.06 0.33 0.91 -5.92 20.78 -3.91 2.71 0.52 -1.08
2014-5-24T22:48:20.155 27.93 25.13 1841.91 25.45 -0.06 0.33 0.89 -6.04 20.97 -3.51 2.75 0.40 -1.05
2014-5-24T22:48:21.163 28.02 25.13 1841.87 25.45 -0.05 0.33 0.89 -6.04 20.97 -3.51 2.79 0.70 -1.31
2014-5-24T22:48:22.171 28.02 25.13 1849.12 25.45 -0.05 0.33 0.89 -6.13 20.90 -3.66 2.88 0.64 -1.12
2014-5-24T22:48:23.178 28.02 25.13 1849.12 25.45 -0.05 0.33 0.89 -6.13 20.90 -3.66 2.91 0.64 -1.15
2014-5-24T22:48:24.186 27.95 25.13 1849.12 25.45 -0.05 0.33 0.91 -5.92 20.66 -3.81 2.88 0.69 -1.14
2014-5-24T22:48:25.194 28.02 25.13 1849.13 25.45 -0.06 0.31 0.91 -5.92 20.66 -3.81 2.76 0.69 -1.23
2014-5-24T22:48:26.202 27.97 25.13 1856.39 25.45 -0.06 0.33 0.89 -5.95 20.84 -2.99 2.61 0.71 -1.11
2014-5-24T22:48:27.209 27.95 25.13 1856.36 25.45 -0.06 0.33 0.89 -5.95 20.84 -2.99 2.67 0.66 -1.19
2014-5-24T22:48:28.216 28.00 25.13 1863.61 25.45 -0.05 0.33 0.89 -6.07 20.81 -3.88 2.82 0.63 -1.21
2014-5-24T22:48:29.223 27.94 25.09 1863.61 25.45 -0.05 0.33 0.91 -6.07 20.81 -3.88 2.77 0.66 -1.08
2014-5-24T22:48:30.230 28.01 25.09 1863.58 25.45 -0.06 0.31 0.89 -5.89 20.78 -3.51 2.80 0.62 -1.08
2014-5-24T22:48:31.238 28.03 25.09 1849.07 25.45 -0.06 0.33 0.89 -6.01 20.72 -3.81 2.94 0.52 -1.13
2014-5-24T22:48:32.245 28.01 25.09 1849.12 25.45 -0.06 0.33 0.91 -6.01 20.72 -3.81 2.76 0.76 -1.13
2014-5-24T22:48:33.251 27.99 25.09 27.83 25.45 -0.06 0.33 0.89 -5.86 20.81 -3.11 2.79 0.74 -0.97
2014-5-24T22:48:34.259 27.96 25.09 27.82 25.45 -0.05 0.34 0.91 -5.86 20.81 -3.11 2.79 0.60 -1.02
2014-5-24T22:48:35.265 27.99 25.09 1849.02 25.45 -0.05 0.34 0.91 -5.86 20.81 -3.11 2.78 0.57 -1.17
2014-5-24T22:48:36.273 28.03 25.09 1849.05 25.45 -0.06 0.33 0.89 -6.07 20.84 -4.21 2.71 0.52 -1.16
2014-5-24T22:48:37.280 28.03 25.09 1863.56 25.45 -0.06 0.33 0.91 -5.98 20.84 -3.27 2.79 0.77 -1.15
2014-5-24T22:48:38.287 28.01 25.09 1863.59 25.45 -0.06 0.33 0.91 -5.98 20.84 -3.27 2.83 0.47 -1.13
2014-5-24T22:48:39.294 27.99 25.09 1870.85 25.45 -0.05 0.34 0.89 -6.07 20.78 -3.88 2.82 0.69 -1.15
2014-5-24T22:48:40.301 27.96 25.09 1870.85 25.45 -0.06 0.31 0.89 -6.07 20.78 -3.88 2.84 0.76 -1.01
2014-5-24T22:48:41.309 28.01 25.09 1870.85 25.45 -0.06 0.34 0.89 -6.20 20.69 -3.78 2.69 0.66 -1.16
2014-5-24T22:48:42.317 28.03 25.09 1870.78 25.45 -0.06 0.34 0.89 -6.20 20.69 -3.78 2.72 0.53 -1.14
2014-5-24T22:48:43.324 28.05 25.09 1870.78 25.45 -0.06 0.31 0.89 -6.01 21.03 -3.78 2.66 0.74 -1.06
2014-5-24T22:48:44.332 28.01 25.09 1870.84 25.45 -0.05 0.33 0.89 -6.01 21.03 -3.78 2.78 0.56 -1.16
2014-5-24T22:48:45.339 27.99 25.09 1870.84 25.45 -0.06 0.34 0.91 -5.92 20.78 -3.54 2.85 0.92 -0.96
2014-5-24T22:48:46.347 28.05 25.09 1863.58 25.45 -0.06 0.31 0.89 -5.92 20.78 -3.54 2.72 0.69 -1.24
2014-5-24T22:48:47.354 28.07 25.09 1863.55 25.45 -0.05 0.33 0.89 -6.01 20.75 -3.66 2.78 0.60 -1.14
2014-5-24T22:48:48.362 28.01 25.09 1863.55 25.45 -0.05 0.33 0.89 -6.01 20.75 -3.66 2.86 0.72 -1.17
2014-5-24T22:48:49.369 28.03 25.09 1863.54 25.45 -0.06 0.33 0.89 -6.01 20.78 -4.12 2.78 0.56 -1.12
