# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T23:7:39.781 2.45 0.00 447.81 24.59 -0.05 0.33 0.89 0.00 0.00 0.00 2.88 0.72 -1.19
2014-5-24T23:7:40.789 26.93 24.22 447.81 24.59 -0.05 0.30 0.89 -5.92 20.97 -3.75 2.75 0.76 -1.11
2014-5-24T23:7:41.795 25.46 24.25 447.81 24.59 -0.05 0.34 0.91 -5.92 20.97 -3.75 2.91 0.73 -1.22
2014-5-24T23:7:42.803 26.81 24.25 447.79 24.59 -0.05 0.33 0.91 -6.01 20.78 -3.88 2.71 0.66 -1.21
2014-5-24T23:7:43.809 26.83 24.25 447.79 24.59 -0.05 0.34 0.91 -6.01 20.78 -3.88 2.83 0.68 -1.21
2014-5-24T23:7:44.817 26.83 24.25 447.79 24.59 -0.06 0.33 0.89 -6.13 20.94 -3.54 2.69 0.60 -1.04
2014-5-24T23:7:45.825 26.94 24.25 455.03 24.59 -0.06 0.33 0.89 -6.13 20.94 -3.54 2.65 0.79 -1.17
2014-5-24T23:7:46.832 26.92 24.25 455.03 24.59 -0.05 0.33 0.91 -5.95 20.84 -3.88 2.97 0.63 -1.01
2014-5-24T23:7:47.839 26.94 24.25 462.28 24.59 -0.05 0.33 0.91 -5.95 20.84 -3.88 2.66 0.74 -1.17
2014-5-24T23:7:48.846 26.92 24.25 462.28 24.59 -0.05 0.33 0.89 -5.98 20.94 -3.85 2.62 0.64 -1.31
2014-5-24T23:7:49.853 26.92 24.25 462.28 24.59 -0.05 0.34 0.91 -5.98 20.94 -3.85 2.76 0.74 -1.20
2014-5-24T23:7:50.860 26.94 24.25 455.03 24.59 -0.05 0.34 0.89 -5.98 21.00 -3.45 2.66 0.72 -1.11
2014-5-24T23:7:51.868 26.96 24.25 455.03 24.59 -0.05 0.34 0.89 -5.98 21.00 -3.45 2.85 0.77 -1.18
2014-5-24T23:7:52.876 26.92 24.25 469.52 24.59 -0.05 0.33 0.91 -5.95 20.75 -3.85 2.61 0.85 -1.07
2014-5-24T23:7:53.882 27.01 24.25 469.54 24.59 -0.05 0.34 0.91 -5.95 20.75 -3.85 2.73 0.76 -1.13
2014-5-24T23:7:54.889 26.90 24.25 476.79 24.59 -0.05 0.34 0.91 -6.01 20.87 -3.69 2.88 0.68 -0.94
