# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T23:17:38.355 2.45 0.00 642.80 24.25 -0.05 0.31 0.91 0.00 0.00 0.00 2.78 0.72 -1.17
2014-5-24T23:17:39.363 24.99 23.88 642.80 24.25 -0.06 0.31 0.89 -6.01 21.09 -3.75 2.80 0.76 -1.13
2014-5-24T23:17:40.371 26.27 23.88 650.04 24.25 -0.06 0.33 0.89 -6.01 21.09 -3.75 2.68 0.74 -1.14
2014-5-24T23:17:41.379 26.39 23.88 650.04 24.25 -0.06 0.33 0.89 -6.20 20.87 -3.45 2.73 0.66 -1.08
2014-5-24T23:17:42.387 26.39 23.88 642.81 24.25 -0.05 0.33 0.91 -6.20 20.87 -3.45 2.90 0.85 -1.24
2014-5-24T23:17:43.395 26.39 23.88 642.80 24.25 -0.05 0.33 0.91 -6.20 21.09 -3.08 2.75 0.79 -1.06
2014-5-24T23:17:44.401 26.41 23.88 664.51 24.25 -0.06 0.33 0.89 -6.20 21.09 -3.08 2.87 0.68 -1.23
2014-5-24T23:17:45.409 26.43 23.88 664.50 24.25 -0.06 0.34 0.91 -6.23 20.90 -3.36 2.88 0.90 -1.14
2014-5-24T23:17:46.417 26.48 23.88 664.50 24.25 -0.05 0.34 0.89 -6.23 20.90 -3.36 2.75 0.94 -1.08
2014-5-24T23:17:47.424 26.50 23.88 664.52 24.25 -0.05 0.34 0.89 -6.01 21.09 -3.30 2.72 0.71 -1.12
2014-5-24T23:17:48.431 26.55 23.88 657.29 24.25 -0.05 0.34 0.91 -6.01 21.09 -3.30 2.80 0.74 -1.02
2014-5-24T23:17:49.439 26.50 23.88 657.29 24.25 -0.05 0.34 0.91 -6.26 20.78 -2.99 2.64 0.69 -1.14
2014-5-24T23:17:50.447 26.46 23.88 657.26 24.25 -0.06 0.31 0.89 -6.26 20.78 -2.99 2.84 0.72 -1.22
2014-5-24T23:17:51.454 26.52 23.88 657.26 24.25 -0.06 0.33 0.89 -6.07 20.97 -3.27 2.53 0.64 -1.08
2014-5-24T23:17:52.462 26.52 23.88 657.28 24.25 -0.05 0.33 0.89 -6.07 20.97 -3.27 2.78 0.76 -1.17
2014-5-24T23:17:53.469 26.52 23.88 642.80 24.25 -0.05 0.31 0.91 -6.07 21.03 -3.57 2.82 0.76 -1.33
2014-5-24T23:17:54.477 26.52 23.88 642.78 24.25 -0.05 0.31 0.91 -6.07 21.03 -3.57 2.69 0.85 -1.25
2014-5-24T23:17:55.484 26.59 23.88 664.49 24.25 -0.05 0.33 0.89 -6.10 20.97 -3.54 2.68 0.76 -1.21
2014-5-24T23:17:56.491 26.50 23.88 664.51 24.25 -0.05 0.33 0.89 -5.98 21.03 -3.54 2.75 0.88 -0.97
2014-5-24T23:17:57.499 26.50 23.88 650.04 24.25 -0.05 0.33 0.89 -5.98 21.03 -3.54 2.88 0.88 -1.09
2014-5-24T23:17:58.506 26.52 23.88 650.00 24.25 -0.05 0.33 0.89 -6.16 20.97 -3.72 2.69 0.78 -1.32
2014-5-24T23:17:59.514 26.52 23.88 671.71 24.25 -0.06 0.33 0.91 -6.16 20.97 -3.72 2.53 0.72 -1.29
2014-5-24T23:18:0.521 26.52 23.88 671.73 24.25 -0.05 0.33 0.89 -6.20 20.94 -3.91 2.88 0.64 -1.11
2014-5-24T23:18:1.529 26.52 23.88 671.73 24.25 -0.05 0.34 0.89 -6.20 20.94 -3.91 2.73 0.76 -1.19
2014-5-24T23:18:2.536 26.55 23.88 671.72 24.25 -0.06 0.33 0.89 -6.20 21.21 -3.85 2.70 0.76 -1.11
2014-5-24T23:18:3.544 26.48 23.88 678.96 24.25 -0.05 0.34 0.89 -6.20 21.21 -3.85 2.62 0.95 -1.21
2014-5-24T23:18:4.551 26.50 23.88 678.96 24.25 -0.05 0.33 0.91 -6.32 21.00 -3.14 2.66 0.89 -1.11
2014-5-24T23:18:5.558 26.52 23.88 678.98 24.25 -0.06 0.33 0.89 -6.32 21.00 -3.14 2.72 0.79 -1.16
2014-5-24T23:18:6.566 26.51 23.84 664.51 24.25 -0.05 0.33 0.91 -6.26 20.97 -3.51 2.69 0.91 -1.17
2014-5-24T23:18:7.574 26.42 23.84 664.51 24.25 -0.05 0.31 0.91 -6.26 20.97 -3.51 2.68 0.79 -1.20
2014-5-24T23:18:8.581 26.49 23.84 657.27 24.25 -0.05 0.33 0.91 -6.20 21.00 -3.11 2.61 0.66 -1.14
2014-5-24T23:18:9.589 26.49 23.84 657.27 24.25 -0.05 0.31 0.89 -6.20 21.00 -3.11 2.68 0.92 -1.17
2014-5-24T23:18:10.596 26.49 23.84 671.74 24.25 -0.05 0.34 0.91 -6.23 21.06 -3.39 2.72 0.75 -1.28
2014-5-24T23:18:11.604 26.47 23.84 671.74 24.25 -0.05 0.33 0.89 -6.23 21.06 -3.39 2.61 0.87 -1.15
2014-5-24T23:18:12.611 26.47 23.84 671.74 24.25 -0.05 0.33 0.91 -6.20 20.97 -3.02 2.72 0.76 -1.14
2014-5-24T23:18:13.619 26.45 23.84 671.72 24.25 -0.05 0.33 0.89 -6.20 20.97 -3.02 2.81 0.67 -1.24
