# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T23:8:30.603 2.45 0.00 476.75 24.59 -0.05 0.33 0.89 0.00 0.00 0.00 2.53 0.80 -1.21
2014-5-24T23:8:31.611 25.32 24.19 476.73 24.59 -0.05 0.36 0.91 -5.86 20.81 -3.45 2.69 0.76 -1.11
2014-5-24T23:8:32.618 26.75 24.22 491.21 24.59 -0.05 0.36 0.91 -5.86 20.81 -3.45 2.74 0.65 -1.16
2014-5-24T23:8:33.625 26.77 24.22 491.22 24.59 -0.05 0.33 0.89 -6.26 20.78 -3.36 2.86 0.83 -1.23
2014-5-24T23:8:34.633 26.82 24.22 462.25 24.59 -0.05 0.33 0.89 -6.26 20.78 -3.36 2.78 0.82 -1.29
2014-5-24T23:8:35.644 26.82 24.22 462.24 24.59 -0.05 0.31 0.91 -5.92 20.78 -3.60 2.76 0.72 -0.94
2014-5-24T23:8:36.652 26.84 24.22 447.76 24.59 -0.05 0.33 0.89 -5.92 20.78 -3.60 2.75 0.79 -0.86
2014-5-24T23:8:37.658 26.91 24.22 447.75 24.59 -0.05 0.34 0.89 -6.04 20.66 -3.30 2.64 0.66 -1.17
2014-5-24T23:8:38.681 26.89 24.22 476.72 24.59 -0.05 0.33 0.91 -6.04 20.66 -3.30 2.69 0.67 -1.06
2014-5-24T23:8:39.689 26.95 24.22 476.72 24.59 -0.05 0.34 0.89 -6.07 20.97 -3.51 2.61 0.72 -1.21
2014-5-24T23:8:40.697 26.93 24.22 469.48 24.59 -0.06 0.31 0.91 -6.07 20.97 -3.51 2.78 0.77 -1.22
2014-5-24T23:8:41.703 26.93 24.22 469.48 24.59 -0.05 0.33 0.91 -5.92 21.00 -3.45 2.78 0.56 -1.22
2014-5-24T23:8:42.711 26.93 24.22 469.48 24.59 -0.05 0.33 0.91 -5.92 21.00 -3.45 2.62 0.80 -1.17
2014-5-24T23:8:43.723 26.95 24.22 512.93 24.59 -0.05 0.33 0.91 -6.10 20.87 -3.45 2.76 0.72 -1.32
2014-5-24T23:8:44.729 27.00 24.22 512.96 24.59 -0.05 0.33 0.89 -5.98 21.12 -4.09 2.85 0.82 -1.14
2014-5-24T23:8:45.736 26.93 24.22 476.74 24.59 -0.06 0.31 0.89 -5.98 21.12 -4.09 2.61 0.83 -0.89
2014-5-24T23:8:46.743 26.91 24.22 476.73 24.59 -0.06 0.31 0.89 -5.98 21.12 -4.09 2.74 0.80 -1.07
2014-5-24T23:8:47.751 26.95 24.22 476.73 24.59 -0.05 0.33 0.89 -5.95 20.84 -3.69 2.72 0.72 -1.14
2014-5-24T23:8:48.759 26.91 24.22 476.72 24.59 -0.06 0.34 0.89 -6.07 21.00 -2.96 2.74 0.66 -1.15
2014-5-24T23:8:49.767 26.93 24.22 476.72 24.59 -0.06 0.34 0.89 -6.07 21.00 -2.96 2.90 0.70 -1.21
2014-5-24T23:8:50.775 26.88 24.19 476.72 24.59 -0.05 0.33 0.91 -6.01 20.84 -3.63 2.98 0.82 -1.24
2014-5-24T23:8:51.782 26.83 24.19 476.72 24.59 -0.05 0.33 0.89 -6.01 20.84 -3.63 2.79 0.82 -1.12
2014-5-24T23:8:52.789 26.88 24.19 476.73 24.59 -0.05 0.31 0.89 -5.98 20.97 -3.08 2.83 0.75 -1.27
2014-5-24T23:8:53.796 26.79 24.19 469.49 24.59 -0.05 0.33 0.91 -5.98 20.97 -3.08 2.63 0.71 -1.11
2014-5-24T23:8:54.805 26.88 24.19 469.46 24.59 -0.06 0.31 0.88 -5.98 20.75 -3.30 2.91 0.67 -1.11
2014-5-24T23:8:55.811 26.83 24.19 469.46 24.59 -0.06 0.33 0.89 -5.98 20.75 -3.30 2.64 0.81 -1.09
2014-5-24T23:8:56.819 26.83 24.19 491.19 24.59 -0.05 0.34 0.91 -5.98 20.81 -3.51 2.83 0.72 -1.39
2014-5-24T23:8:57.826 26.85 24.19 491.18 24.59 -0.03 0.34 0.91 -5.98 20.81 -3.51 2.82 0.76 -1.10
2014-5-24T23:8:58.833 26.85 24.19 483.94 24.59 -0.05 0.34 0.89 -6.04 20.84 -3.51 2.71 0.68 -1.24
2014-5-24T23:8:59.841 26.88 24.19 483.96 24.59 -0.05 0.34 0.89 -6.04 20.84 -3.51 2.75 0.68 -1.32
2014-5-24T23:9:0.849 26.90 24.19 483.96 24.59 -0.05 0.33 0.91 -6.23 20.84 -3.48 2.77 0.63 -1.17
2014-5-24T23:9:1.856 26.90 24.19 483.96 24.59 -0.05 0.31 0.89 -6.23 20.84 -3.48 2.66 0.76 -0.97
2014-5-24T23:9:2.864 26.88 24.19 476.72 24.59 -0.05 0.33 0.89 -5.95 20.81 -3.88 2.69 0.79 -1.21
2014-5-24T23:9:3.871 26.85 24.19 476.73 24.59 -0.05 0.31 0.89 -5.95 20.81 -3.88 3.00 0.69 -1.10
2014-5-24T23:9:4.880 26.88 24.19 476.73 24.59 -0.05 0.31 0.91 -5.92 20.84 -3.63 2.82 0.72 -1.19
2014-5-24T23:9:5.887 26.90 24.19 476.71 24.59 -0.05 0.33 0.91 -5.92 20.84 -3.63 2.83 0.60 -1.27
2014-5-24T23:9:6.894 26.94 24.19 512.93 24.60 -0.05 0.33 0.91 -6.07 20.81 -3.45 2.68 0.99 -1.30
