# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T21:52:50.613 2.45 0.00 1798.88 21.92 -0.05 0.33 0.89 0.00 0.00 0.00 2.47 0.90 -1.17
2014-5-24T21:52:51.621 22.18 21.53 1798.86 21.92 -0.05 0.33 0.91 -6.65 21.18 -2.17 2.41 0.98 -1.22
2014-5-24T21:52:52.633 23.53 21.53 1798.86 21.92 -0.05 0.33 0.91 -6.65 21.18 -2.17 2.42 0.90 -1.21
2014-5-24T21:52:53.649 23.60 21.53 1798.88 21.92 -0.05 0.33 0.89 -6.59 21.18 -1.98 2.51 1.11 -1.24
2014-5-24T21:52:54.657 23.63 21.53 1791.68 21.92 -0.06 0.31 0.91 -6.59 21.18 -1.98 2.53 0.85 -1.34
2014-5-24T21:52:55.666 23.67 21.53 1791.75 21.92 -0.05 0.33 0.89 -6.56 21.30 -1.86 2.47 1.00 -1.24
2014-5-24T21:52:56.674 23.74 21.53 1791.75 21.92 -0.05 0.31 0.91 -6.56 21.30 -1.86 2.40 1.00 -1.31
2014-5-24T21:52:57.681 23.67 21.53 1791.63 21.92 -0.05 0.33 0.91 -6.35 21.00 -2.14 2.49 0.95 -1.11
2014-5-24T21:52:58.693 23.70 21.53 1791.63 21.92 -0.05 0.33 0.89 -6.35 21.00 -2.14 2.61 1.01 -1.30
2014-5-24T21:52:59.700 23.67 21.53 1791.64 21.92 -0.06 0.33 0.91 -6.50 21.18 -2.14 2.66 0.82 -1.13
2014-5-24T21:53:0.707 23.70 21.53 1798.85 21.92 -0.05 0.33 0.89 -6.50 21.18 -2.14 2.53 0.88 -1.15
2014-5-24T21:53:1.716 23.65 21.53 1798.85 21.92 -0.05 0.33 0.88 -6.38 20.94 -2.11 2.49 1.05 -1.15
2014-5-24T21:53:2.723 23.70 21.53 1798.86 21.92 -0.05 0.34 0.91 -6.38 20.94 -2.11 2.42 0.98 -1.30
2014-5-24T21:53:3.729 23.70 21.53 1791.65 21.92 -0.05 0.31 0.89 -6.47 21.21 -2.20 2.53 0.87 -1.27
2014-5-24T21:53:4.737 23.74 21.53 1791.63 21.92 -0.06 0.33 0.89 -6.47 21.21 -2.20 2.53 1.05 -1.17
2014-5-24T21:53:5.745 23.79 21.53 1777.23 21.92 -0.06 0.33 0.89 -6.71 21.09 -2.20 2.38 0.89 -1.24
2014-5-24T21:53:6.752 23.74 21.53 1777.33 21.92 -0.06 0.33 0.89 -6.71 21.09 -2.20 2.52 0.92 -1.19
2014-5-24T21:53:7.759 23.84 21.53 1777.33 21.92 -0.05 0.34 0.91 -6.53 21.27 -2.01 2.41 0.87 -1.21
2014-5-24T21:53:8.766 23.72 21.53 1777.32 21.92 -0.05 0.34 0.88 -6.44 21.24 -2.62 2.59 0.88 -1.20
2014-5-24T21:53:9.774 23.63 21.53 1777.32 21.92 -0.05 0.34 0.88 -6.44 21.24 -2.62 2.58 1.02 -1.12
2014-5-24T21:53:10.780 23.65 21.53 1777.28 21.92 -0.05 0.31 0.89 -6.56 21.24 -2.23 2.41 0.92 -1.05
2014-5-24T21:53:11.788 23.60 21.53 1798.89 21.92 -0.05 0.33 0.89 -6.56 21.24 -2.23 2.52 0.87 -1.07
2014-5-24T21:53:12.796 23.65 21.53 1798.87 21.92 -0.05 0.33 0.89 -6.53 21.15 -2.32 2.50 1.12 -1.09
2014-5-24T21:53:13.804 23.55 21.53 1784.46 21.92 -0.06 0.31 0.89 -6.53 21.15 -2.32 2.36 0.97 -1.34
2014-5-24T21:53:14.812 23.67 21.53 1784.43 21.92 -0.06 0.33 0.88 -6.50 21.15 -2.41 2.46 0.92 -1.14
2014-5-24T21:53:15.819 23.63 21.53 1784.43 21.92 -0.05 0.33 0.89 -6.50 21.15 -2.41 2.61 0.84 -1.04
2014-5-24T21:53:16.828 23.63 21.53 1784.43 21.92 -0.05 0.33 0.91 -6.62 21.06 -1.92 2.43 0.92 -1.23
2014-5-24T21:53:17.835 23.74 21.53 1784.52 21.92 -0.05 0.33 0.89 -6.62 21.06 -1.92 2.53 1.03 -1.22
2014-5-24T21:53:18.842 23.60 21.53 1784.52 21.92 -0.03 0.34 0.89 -6.56 21.18 -2.32 2.57 1.11 -1.33
2014-5-24T21:53:19.850 23.74 21.53 1784.37 21.92 -0.06 0.33 0.91 -6.56 21.18 -2.32 2.55 1.08 -1.14
2014-5-24T21:53:20.857 23.70 21.53 1791.57 21.92 -0.06 0.34 0.89 -6.62 21.15 -2.20 2.54 1.02 -1.24
2014-5-24T21:53:21.865 23.77 21.53 1791.66 21.92 -0.05 0.36 0.89 -6.62 21.15 -2.20 2.48 0.89 -1.18
2014-5-24T21:53:22.873 23.74 21.53 1791.66 21.92 -0.05 0.34 0.89 -6.59 21.21 -1.71 2.58 0.89 -1.27
2014-5-24T21:53:23.880 23.77 21.53 1791.65 21.92 -0.05 0.34 0.89 -6.59 21.21 -1.71 2.56 1.02 -1.15
2014-5-24T21:53:24.888 23.77 21.53 1798.86 21.92 -0.06 0.34 0.91 -6.81 21.27 -1.74 2.53 0.96 -1.17
2014-5-24T21:53:25.895 23.72 21.53 1798.89 21.92 -0.06 0.33 0.89 -6.81 21.27 -1.74 2.67 1.04 -1.37
2014-5-24T21:53:26.902 23.77 21.53 1798.89 21.92 -0.05 0.34 0.91 -6.77 21.15 -2.04 2.43 0.83 -1.16
2014-5-24T21:53:27.909 23.74 21.53 1798.89 21.92 -0.05 0.34 0.89 -6.77 21.15 -2.04 2.27 0.66 -1.14
2014-5-24T21:53:28.915 23.79 21.53 1806.09 21.92 -0.05 0.34 0.89 -6.50 21.18 -2.11 2.50 0.78 -1.08
2014-5-24T21:53:29.923 23.79 21.53 1806.06 21.92 -0.05 0.31 0.91 -6.50 21.18 -2.11 2.29 0.93 -1.11
2014-5-24T21:53:30.930 23.79 21.53 1806.06 21.92 -0.05 0.31 0.89 -6.62 21.09 -2.38 2.46 0.92 -1.19
