# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T21:44:13.943 2.45 0.00 1676.97 22.09 -0.06 0.34 0.89 0.00 0.00 0.00 2.53 0.79 -1.23
2014-5-24T21:44:14.950 23.95 21.66 1677.04 22.09 -0.05 0.33 0.91 -6.81 21.15 -2.04 2.74 0.97 -1.24
2014-5-24T21:44:15.958 22.27 21.66 1655.43 22.09 -0.06 0.31 0.89 -6.81 21.15 -2.04 2.52 1.01 -1.20
2014-5-24T21:44:16.966 23.73 21.66 1655.36 22.09 -0.05 0.33 0.91 -6.62 21.09 -2.11 2.62 0.89 -1.18
2014-5-24T21:44:17.973 23.81 21.69 1662.56 22.09 -0.05 0.33 0.91 -6.62 21.09 -2.11 2.56 0.86 -1.18
2014-5-24T21:44:18.981 23.84 21.69 1662.53 22.09 -0.03 0.33 0.89 -6.38 21.15 -1.89 2.58 1.05 -1.09
2014-5-24T21:44:19.989 23.84 21.69 1676.94 22.09 -0.05 0.33 0.91 -6.38 21.15 -1.89 2.46 0.91 -1.01
2014-5-24T21:44:20.997 23.93 21.69 1676.91 22.09 -0.06 0.33 0.91 -6.56 21.27 -1.98 2.62 0.95 -1.21
2014-5-24T21:44:22.005 23.89 21.69 1669.71 22.09 -0.05 0.34 0.89 -6.56 21.27 -1.98 2.56 1.03 -1.26
2014-5-24T21:44:23.011 23.93 21.69 1669.71 22.09 -0.05 0.33 0.91 -6.62 21.27 -2.32 2.85 0.89 -1.13
2014-5-24T21:44:24.019 23.93 21.69 1669.79 22.09 -0.05 0.34 0.91 -6.62 21.27 -2.32 2.51 0.94 -1.41
2014-5-24T21:44:25.026 23.93 21.69 1648.18 22.09 -0.05 0.33 0.89 -6.47 21.27 -2.08 2.41 1.05 -1.32
2014-5-24T21:44:26.033 23.91 21.69 1648.11 22.09 -0.05 0.33 0.89 -6.47 21.27 -2.08 2.53 0.88 -1.08
2014-5-24T21:44:27.041 23.93 21.69 1662.51 22.09 -0.05 0.33 0.91 -6.50 21.15 -1.92 2.54 0.98 -1.21
2014-5-24T21:44:28.049 23.91 21.69 1662.57 22.09 -0.05 0.31 0.91 -6.50 21.15 -1.92 2.52 1.00 -1.24
2014-5-24T21:44:29.055 23.96 21.69 1662.57 22.09 -0.05 0.33 0.89 -6.50 20.90 -1.89 2.50 1.06 -1.11
2014-5-24T21:44:30.063 23.93 21.69 1662.47 22.09 -0.05 0.33 0.91 -6.50 20.90 -1.89 2.52 0.94 -1.23
2014-5-24T21:44:31.071 23.86 21.69 1662.47 22.09 -0.05 0.33 0.89 -6.65 21.15 -1.80 2.54 0.82 -1.03
2014-5-24T21:44:32.079 23.89 21.69 1662.46 22.09 -0.05 0.34 0.91 -6.65 21.15 -1.80 2.48 1.05 -1.22
2014-5-24T21:44:33.087 23.84 21.69 1648.05 22.09 -0.05 0.34 0.89 -6.50 21.06 -1.83 2.60 1.10 -1.23
2014-5-24T21:44:34.095 23.86 21.69 1648.13 22.09 -0.06 0.34 0.91 -6.50 21.06 -1.83 2.45 0.95 -1.29
2014-5-24T21:44:35.103 23.86 21.69 1662.53 22.09 -0.05 0.33 0.89 -6.38 21.06 -2.26 2.86 0.82 -1.27
2014-5-24T21:44:36.110 23.86 21.69 1662.58 22.09 -0.05 0.34 0.89 -6.38 21.06 -2.26 2.57 1.07 -1.12
2014-5-24T21:44:37.118 23.84 21.69 1662.58 22.09 -0.05 0.33 0.89 -6.50 21.06 -1.89 2.68 1.02 -1.24
2014-5-24T21:44:38.125 23.89 21.69 1662.58 22.09 -0.05 0.34 0.89 -6.50 21.06 -1.89 2.53 0.95 -1.21
2014-5-24T21:44:39.132 24.06 21.66 1662.53 22.09 -0.06 0.31 0.89 -6.47 21.27 -2.11 2.61 1.06 -1.23
2014-5-24T21:44:40.139 23.88 21.66 1640.92 22.09 -0.05 0.33 0.91 -6.47 21.27 -2.11 2.58 0.97 -1.05
2014-5-24T21:44:41.146 23.92 21.66 1640.87 22.09 -0.05 0.33 0.91 -6.47 21.30 -1.68 2.53 1.14 -1.26
2014-5-24T21:44:42.154 23.96 21.69 1655.28 22.09 -0.05 0.34 0.91 -6.47 21.30 -1.68 2.62 1.00 -1.40
2014-5-24T21:44:43.162 23.90 21.66 1655.23 22.09 -0.06 0.34 0.89 -6.59 21.09 -1.86 2.38 1.07 -1.14
2014-5-24T21:44:44.169 23.88 21.66 1648.03 22.09 -0.06 0.33 0.89 -6.59 21.09 -1.86 2.56 0.98 -1.34
2014-5-24T21:44:45.177 23.90 21.66 1648.12 22.09 -0.06 0.33 0.91 -6.65 21.21 -1.80 2.34 1.01 -1.03
2014-5-24T21:44:46.189 23.90 21.66 1669.73 22.09 -0.06 0.33 0.91 -6.50 21.06 -2.04 2.59 0.95 -1.27
2014-5-24T21:44:47.196 23.90 21.66 1669.71 22.09 -0.06 0.31 0.89 -6.50 21.06 -2.04 2.53 0.93 -1.14
2014-5-24T21:44:48.204 23.95 21.66 1669.71 22.09 -0.05 0.31 0.89 -6.62 21.15 -1.65 2.66 1.00 -1.21
2014-5-24T21:44:49.212 23.85 21.66 1669.62 22.09 -0.05 0.33 0.91 -6.62 21.15 -1.65 2.39 0.99 -1.07
2014-5-24T21:44:50.219 23.88 21.66 1669.62 22.09 -0.05 0.33 0.89 -6.56 21.12 -1.74 2.43 0.96 -1.30
2014-5-24T21:44:51.226 23.88 21.66 1669.74 22.09 -0.05 0.33 0.89 -6.56 21.12 -1.74 2.57 1.06 -1.16
2014-5-24T21:44:52.234 23.92 21.66 1669.74 22.09 -0.05 0.34 0.89 -6.38 21.33 -2.14 2.85 1.10 -1.09
2014-5-24T21:44:53.241 23.97 21.66 1662.53 22.09 -0.05 0.33 0.89 -6.38 21.33 -2.14 2.47 0.95 -1.23
2014-5-24T21:44:54.249 23.97 21.66 1662.47 22.09 -0.06 0.34 0.91 -6.44 21.21 -2.29 2.56 0.98 -1.07
2014-5-24T21:44:55.256 23.95 21.66 1655.26 22.09 -0.05 0.34 0.91 -6.44 21.21 -2.29 2.52 0.93 -1.24
2014-5-24T21:44:56.262 23.90 21.66 1655.28 22.09 -0.06 0.31 0.91 -6.47 21.27 -2.01 2.59 0.92 -1.11
2014-5-24T21:44:57.269 23.90 21.66 1669.69 22.09 -0.03 0.34 0.89 -6.47 21.27 -2.01 2.50 0.86 -1.39
2014-5-24T21:44:58.275 23.83 21.66 1669.64 22.09 -0.05 0.34 0.91 -6.32 21.06 -1.92 2.53 0.82 -1.22
2014-5-24T21:44:59.282 23.83 21.66 1669.64 22.09 -0.05 0.34 0.91 -6.32 21.06 -1.92 2.63 0.94 -1.26
2014-5-24T21:45:0.289 23.90 21.66 1669.69 22.09 -0.05 0.33 0.89 -6.59 21.12 -2.29 2.53 0.95 -1.24
2014-5-24T21:45:1.297 23.90 21.66 1669.69 22.09 -0.05 0.33 0.91 -6.59 21.12 -2.29 2.57 0.98 -1.37
2014-5-24T21:45:2.305 23.90 21.66 1669.66 22.09 -0.05 0.34 0.91 -6.44 21.15 -2.20 2.72 0.92 -1.25
2014-5-24T21:45:3.311 23.90 21.66 1669.66 22.09 -0.05 0.34 0.91 -6.44 21.15 -2.20 2.65 0.88 -1.17
2014-5-24T21:45:4.319 23.90 21.66 1669.65 22.09 -0.05 0.33 0.92 -6.53 21.03 -1.92 2.49 0.98 -1.28
2014-5-24T21:45:5.326 23.85 21.66 1676.85 22.09 -0.05 0.33 0.91 -6.53 21.03 -1.92 2.59 1.08 -1.12
2014-5-24T21:45:6.334 23.88 21.66 1676.93 22.09 -0.05 0.34 0.89 -6.50 21.06 -1.74 2.48 0.98 -1.14
2014-5-24T21:45:7.342 23.90 21.66 1676.93 22.09 -0.06 0.33 0.91 -6.50 21.06 -1.74 2.47 0.95 -1.17
2014-5-24T21:45:8.349 23.88 21.66 1669.73 22.09 -0.05 0.33 0.91 -6.56 21.12 -1.68 2.61 0.95 -1.27
2014-5-24T21:45:9.357 23.85 21.66 1669.64 22.09 -0.05 0.33 0.89 -6.56 21.12 -1.68 2.49 1.13 -1.19
2014-5-24T21:45:10.365 23.90 21.66 1676.84 22.09 -0.06 0.34 0.91 -6.47 21.18 -1.95 2.67 1.01 -1.24
2014-5-24T21:45:11.372 23.83 21.66 1676.83 22.09 -0.05 0.34 0.89 -6.47 21.18 -1.95 2.49 0.92 -1.24
2014-5-24T21:45:12.380 23.92 21.66 1684.04 22.09 -0.05 0.34 0.91 -6.56 21.09 -1.98 2.50 0.97 -1.18
2014-5-24T21:45:13.387 23.85 21.66 1684.02 22.09 -0.05 0.34 0.91 -6.56 21.09 -1.98 2.51 0.79 -1.09
2014-5-24T21:45:14.394 23.88 21.66 1655.20 22.09 -0.05 0.34 0.91 -6.59 21.12 -1.98 2.46 0.90 -1.16
