# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T23:21:20.394 2.45 0.00 693.27 24.08 -0.05 0.34 0.89 0.00 0.00 0.00 2.62 0.67 -0.95
2014-5-24T23:21:21.402 26.50 23.72 693.26 24.08 -0.06 0.33 0.89 -6.23 21.00 -3.81 2.75 0.86 -1.08
2014-5-24T23:21:22.410 24.81 23.75 707.73 24.08 -0.05 0.33 0.91 -6.23 21.00 -3.81 2.87 0.72 -1.01
2014-5-24T23:21:23.418 26.19 23.75 707.75 24.08 -0.06 0.33 0.88 -6.47 20.90 -3.23 2.78 0.84 -1.20
2014-5-24T23:21:24.426 26.16 23.75 693.28 24.08 -0.05 0.33 0.89 -6.47 20.90 -3.23 2.81 0.82 -1.18
2014-5-24T23:21:25.433 26.23 23.75 693.26 24.16 -0.05 0.33 0.91 -6.32 21.03 -3.69 2.61 0.88 -1.14
2014-5-24T23:21:26.441 26.23 23.75 707.73 24.08 -0.05 0.34 0.91 -6.32 21.03 -3.69 2.69 0.87 -1.33
2014-5-24T23:21:27.448 26.26 23.75 707.73 24.08 -0.05 0.33 0.89 -6.20 20.90 -3.54 2.91 0.82 -1.09
2014-5-24T23:21:28.455 26.37 23.75 751.14 24.08 -0.06 0.31 0.91 -6.20 20.90 -3.54 2.74 0.78 -1.25
2014-5-24T23:21:29.463 26.32 23.75 751.14 24.08 -0.06 0.33 0.91 -6.32 21.03 -3.36 2.72 0.78 -1.01
2014-5-24T23:21:30.471 26.35 23.75 714.96 24.08 -0.05 0.31 0.89 -6.32 21.03 -3.36 2.60 0.73 -1.08
2014-5-24T23:21:31.479 26.35 23.75 714.96 24.08 -0.05 0.33 0.89 -6.23 21.15 -3.08 2.92 0.89 -1.11
2014-5-24T23:21:32.486 26.26 23.75 714.99 24.08 -0.05 0.33 0.88 -6.23 21.15 -3.08 2.75 0.72 -1.15
2014-5-24T23:21:33.494 26.37 23.75 714.99 24.08 -0.06 0.33 0.89 -6.32 20.87 -3.75 2.56 0.64 -0.95
2014-5-24T23:21:34.501 26.35 23.75 714.96 24.08 -0.05 0.34 0.91 -6.32 20.87 -3.75 2.71 0.84 -1.07
2014-5-24T23:21:35.509 26.35 23.75 714.96 24.08 -0.05 0.34 0.91 -6.10 20.84 -3.23 2.93 0.76 -1.25
2014-5-24T23:21:36.517 26.35 23.75 714.99 24.08 -0.05 0.33 0.91 -6.10 20.84 -3.23 2.59 0.82 -1.32
2014-5-24T23:21:37.525 26.35 23.75 707.75 24.08 -0.06 0.33 0.89 -6.23 21.06 -3.39 2.57 0.80 -1.18
2014-5-24T23:21:38.533 26.30 23.75 707.71 24.08 -0.05 0.33 0.91 -6.23 21.06 -3.39 2.85 0.82 -1.09
2014-5-24T23:21:39.540 26.28 23.75 700.47 24.08 -0.06 0.31 0.89 -6.07 21.00 -3.33 2.76 0.74 -1.23
2014-5-24T23:21:40.548 26.28 23.75 700.47 24.08 -0.06 0.33 0.89 -6.07 21.00 -3.33 2.69 0.80 -0.94
2014-5-24T23:21:41.555 26.30 23.75 714.94 24.08 -0.05 0.33 0.91 -6.23 21.18 -3.54 2.73 0.74 -1.11
2014-5-24T23:21:42.562 26.30 23.75 714.95 24.08 -0.05 0.34 0.89 -6.23 21.18 -3.54 2.75 0.66 -1.09
2014-5-24T23:21:43.569 26.32 23.75 693.25 24.08 -0.05 0.33 0.89 -6.35 21.03 -3.75 2.94 0.50 -1.15
2014-5-24T23:21:44.577 26.28 23.75 693.25 24.08 -0.06 0.33 0.89 -6.35 21.03 -3.75 2.74 0.75 -1.24
2014-5-24T23:21:45.585 26.30 23.75 693.28 24.08 -0.05 0.31 0.91 -6.04 20.94 -3.63 2.70 0.72 -1.16
2014-5-24T23:21:46.592 26.35 23.75 736.69 24.08 -0.05 0.31 0.91 -6.04 20.94 -3.63 2.62 0.92 -1.11
2014-5-24T23:21:47.600 26.37 23.75 736.66 24.08 -0.05 0.31 0.89 -6.23 21.00 -4.03 2.69 0.82 -0.99
2014-5-24T23:21:48.608 26.39 23.75 722.19 24.08 -0.05 0.33 0.89 -6.20 21.06 -3.66 2.75 0.81 -1.21
2014-5-24T23:21:49.615 26.37 23.75 722.19 24.08 -0.05 0.33 0.89 -6.20 21.06 -3.66 2.88 0.65 -1.08
2014-5-24T23:21:50.623 26.37 23.75 729.43 24.08 -0.05 0.33 0.89 -6.20 21.06 -3.66 2.66 0.78 -1.01
2014-5-24T23:21:51.629 26.37 23.75 729.43 24.08 -0.05 0.34 0.91 -6.35 20.90 -3.42 2.72 0.76 -1.10
2014-5-24T23:21:52.637 26.37 23.75 700.49 24.08 -0.05 0.33 0.89 -6.16 20.90 -3.54 2.80 0.63 -1.17
2014-5-24T23:21:53.652 26.39 23.75 700.49 24.08 -0.05 0.33 0.91 -6.16 20.90 -3.54 2.68 0.53 -1.18
2014-5-24T23:21:54.660 26.37 23.75 722.19 24.08 -0.06 0.31 0.91 -6.26 20.94 -3.60 2.75 0.69 -0.87
2014-5-24T23:21:55.667 26.34 23.72 722.21 24.08 -0.05 0.33 0.92 -6.26 20.94 -3.60 2.88 0.82 -1.24
2014-5-24T23:21:56.674 26.31 23.72 729.45 24.08 -0.05 0.33 0.92 -6.20 21.27 -3.85 2.57 0.74 -1.11
