# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T23:22:25.007 26.51 23.69 722.17 24.08 -0.05 0.34 0.91 0.00 0.00 0.00 2.71 0.86 -1.21
2014-5-24T23:22:26.013 24.82 23.72 722.14 24.08 -0.05 0.33 0.89 -6.16 21.09 -3.63 2.65 0.80 -1.09
2014-5-24T23:22:27.021 26.09 23.72 722.14 24.08 -0.05 0.31 0.91 -6.16 21.09 -3.63 2.75 0.74 -1.22
2014-5-24T23:22:28.028 26.22 23.72 722.15 24.08 -0.05 0.31 0.89 -6.26 20.90 -3.08 2.94 0.85 -1.17
2014-5-24T23:22:29.035 26.25 23.72 743.86 24.08 -0.06 0.33 0.89 -6.26 20.90 -3.08 2.86 0.89 -1.16
2014-5-24T23:22:30.042 26.25 23.72 743.83 24.08 -0.05 0.33 0.91 -6.01 20.87 -3.39 2.82 0.94 -0.98
2014-5-24T23:22:31.050 26.29 23.72 743.83 24.12 -0.05 0.33 0.89 -6.01 20.87 -3.39 2.78 0.81 -1.17
2014-5-24T23:22:32.058 26.34 23.72 743.88 24.12 -0.06 0.31 0.89 -6.29 20.94 -3.72 2.92 0.85 -1.13
2014-5-24T23:22:33.065 26.38 23.72 751.12 24.12 -0.06 0.31 0.89 -6.29 20.94 -3.72 2.79 0.77 -1.11
