# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T23:1:31.092 2.45 0.00 339.35 24.85 -0.08 0.33 0.89 0.00 0.00 0.00 2.93 0.85 -1.03
2014-5-24T23:1:32.099 25.67 24.47 339.34 24.85 -0.06 0.31 0.89 -6.01 20.81 -3.78 2.97 0.77 -1.17
2014-5-24T23:1:33.107 27.01 24.47 361.08 24.85 -0.05 0.33 0.91 -6.01 20.81 -3.78 2.49 0.85 -1.19
2014-5-24T23:1:34.113 27.06 24.47 361.08 24.85 -0.05 0.34 0.91 -6.01 20.81 -3.81 2.87 0.81 -1.00
2014-5-24T23:1:35.121 27.17 24.47 346.59 24.85 -0.06 0.33 0.91 -6.01 20.81 -3.81 2.83 0.60 -1.07
2014-5-24T23:1:36.129 27.17 24.47 346.58 24.85 -0.05 0.33 0.89 -5.89 20.72 -3.88 2.62 0.66 -1.16
2014-5-24T23:1:37.137 27.14 24.50 324.84 24.85 -0.05 0.34 0.89 -5.89 20.72 -3.88 2.82 0.72 -0.96
2014-5-24T23:1:38.147 27.17 24.47 324.84 24.85 -0.03 0.34 0.89 -6.04 20.75 -3.36 2.88 0.70 -1.20
2014-5-24T23:1:39.163 27.22 24.47 346.58 24.85 -0.05 0.33 0.89 -6.04 20.75 -3.36 2.57 0.72 -1.22
2014-5-24T23:1:40.170 27.18 24.50 346.58 24.85 -0.05 0.33 0.89 -5.98 20.84 -3.97 2.76 0.71 -1.08
2014-5-24T23:1:41.178 27.16 24.50 346.58 24.85 -0.05 0.33 0.88 -5.98 20.84 -3.97 2.92 0.69 -1.11
2014-5-24T23:1:42.186 27.25 24.50 346.58 24.85 -0.05 0.31 0.89 -6.13 20.75 -3.48 2.64 0.91 -1.27
2014-5-24T23:1:43.193 27.25 24.50 346.58 24.85 -0.05 0.31 0.89 -6.13 20.75 -3.48 2.91 0.82 -0.95
2014-5-24T23:1:44.201 27.17 24.47 361.07 24.85 -0.05 0.33 0.91 -6.07 20.84 -2.75 2.89 0.82 -1.21
2014-5-24T23:1:45.208 27.19 24.47 361.07 24.85 -0.05 0.34 0.91 -6.07 20.84 -2.75 3.01 0.57 -1.16
2014-5-24T23:1:46.216 27.23 24.50 353.82 24.85 -0.05 0.33 0.91 -5.98 20.81 -3.17 2.80 0.57 -1.15
2014-5-24T23:1:47.224 27.24 24.47 353.83 24.85 -0.05 0.33 0.91 -5.98 20.81 -3.17 2.78 0.61 -1.11
2014-5-24T23:1:48.231 27.22 24.47 353.83 24.85 -0.06 0.33 0.91 -6.13 20.97 -3.60 2.75 0.68 -1.17
2014-5-24T23:1:49.239 27.17 24.47 353.83 24.85 -0.06 0.33 0.91 -6.07 20.87 -3.97 2.84 0.77 -0.98
2014-5-24T23:1:50.246 27.19 24.47 332.09 24.85 -0.06 0.33 0.91 -6.07 20.87 -3.97 2.76 0.65 -1.19
2014-5-24T23:1:51.253 27.19 24.47 332.08 24.85 -0.05 0.33 0.91 -6.10 20.72 -3.33 2.83 0.53 -1.26
2014-5-24T23:1:52.261 27.17 24.47 361.07 24.85 -0.05 0.33 0.91 -6.10 20.72 -3.33 2.79 0.65 -1.08
2014-5-24T23:1:53.268 27.19 24.47 361.08 24.85 -0.05 0.33 0.89 -6.01 20.97 -3.36 2.69 0.72 -1.30
2014-5-24T23:1:54.276 27.15 24.47 353.83 24.85 -0.06 0.33 0.89 -6.01 20.97 -3.36 2.84 0.85 -1.05
2014-5-24T23:1:55.284 27.24 24.47 353.83 24.85 -0.06 0.33 0.89 -5.95 20.87 -3.75 2.64 0.77 -1.17
2014-5-24T23:1:56.290 27.24 24.47 353.83 24.85 -0.06 0.31 0.89 -5.95 20.87 -3.75 2.87 0.67 -1.04
2014-5-24T23:1:57.298 27.13 24.47 361.08 24.85 -0.06 0.33 0.91 -6.04 20.87 -3.91 2.77 0.76 -1.11
2014-5-24T23:1:58.305 27.15 24.47 361.07 24.85 -0.05 0.34 0.91 -6.04 20.87 -3.91 2.79 0.61 -1.12
2014-5-24T23:1:59.313 27.22 24.47 339.33 24.85 -0.05 0.33 0.89 -6.10 20.78 -3.39 2.94 0.50 -1.13
2014-5-24T23:2:0.321 27.19 24.47 339.32 24.85 -0.05 0.33 0.89 -6.10 20.78 -3.39 2.78 0.75 -1.14
2014-5-24T23:2:1.329 27.17 24.47 346.57 24.85 -0.05 0.33 0.89 -6.04 20.97 -3.45 2.87 0.82 -1.27
2014-5-24T23:2:2.336 27.24 24.47 346.58 24.85 -0.05 0.34 0.88 -6.04 20.97 -3.45 2.68 0.79 -1.05
2014-5-24T23:2:3.346 27.19 24.47 346.58 24.85 -0.06 0.31 0.91 -6.07 20.75 -3.45 2.74 0.75 -1.14
2014-5-24T23:2:4.354 27.19 24.47 346.58 24.85 -0.05 0.34 0.89 -6.07 20.75 -3.45 2.88 0.85 -1.13
2014-5-24T23:2:5.362 27.22 24.47 368.32 24.85 -0.06 0.34 0.89 -6.10 20.84 -3.51 2.79 0.67 -1.17
2014-5-24T23:2:6.369 27.22 24.47 368.32 24.85 -0.06 0.33 0.91 -6.10 20.84 -3.51 2.85 0.84 -1.14
