# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T22:0:6.084 2.45 0.00 1466.10 24.94 -0.05 0.31 0.91 0.00 0.00 0.00 2.88 0.61 -1.35
2014-5-24T22:0:7.091 31.02 25.41 1466.19 24.94 -0.05 0.41 0.89 -6.47 20.75 -3.33 2.57 0.59 -1.50
2014-5-24T22:0:8.099 32.58 25.44 1480.72 24.94 -0.05 0.30 0.91 -6.47 20.75 -3.33 2.19 0.69 -1.37
2014-5-24T22:0:9.107 32.16 25.47 1480.87 25.02 -0.03 0.28 0.92 -6.44 20.81 -3.69 2.12 0.56 -1.21
2014-5-24T22:0:10.114 32.17 25.50 1422.75 25.02 -0.03 0.33 0.89 -6.44 20.81 -3.69 2.95 -0.02 -1.05
2014-5-24T22:0:11.122 32.08 25.50 1422.90 25.02 -0.05 0.28 0.94 -6.38 20.90 -4.06 2.31 0.59 -1.39
2014-5-24T22:0:12.129 32.39 25.53 1408.37 25.02 -0.03 0.34 0.91 -6.38 20.90 -4.06 2.67 0.47 -0.78
2014-5-24T22:0:13.137 32.29 25.53 1408.47 25.02 -0.05 0.30 0.89 -6.44 20.69 -3.91 3.11 -0.01 -0.61
2014-5-24T22:0:14.144 32.40 25.56 1372.14 25.11 -0.06 0.28 0.91 -6.44 20.69 -3.91 2.71 0.38 -1.06
2014-5-24T22:0:15.152 32.45 25.59 1372.30 25.11 -0.05 0.27 0.94 -6.32 20.90 -3.30 2.17 0.63 -1.40
2014-5-24T22:0:16.160 32.67 25.59 1372.30 25.11 -0.05 0.36 0.88 -6.32 20.90 -3.30 2.74 0.47 -1.30
2014-5-24T22:0:17.167 32.87 25.63 1372.30 25.11 -0.05 0.34 0.89 -6.26 20.78 -3.27 2.89 0.45 -1.30
2014-5-24T22:0:18.175 33.08 25.63 1372.40 25.11 -0.05 0.38 0.91 -6.26 20.78 -3.27 2.74 0.36 -1.14
2014-5-24T22:0:19.182 32.82 25.66 1350.60 25.19 -0.06 0.39 0.88 -6.47 20.90 -3.78 2.25 0.75 -1.53
2014-5-24T22:0:20.190 32.61 25.69 1350.73 25.19 -0.06 0.28 0.91 -6.47 20.90 -3.78 2.55 0.69 -1.08
2014-5-24T22:0:21.198 32.72 25.69 1321.66 25.19 -0.03 0.38 0.88 -6.38 20.69 -3.45 3.01 0.24 -0.67
2014-5-24T22:0:22.205 32.62 25.72 1321.80 25.19 -0.05 0.30 0.91 -6.38 20.69 -3.45 2.54 0.71 -1.25
