# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T22:58:6.483 2.45 0.00 295.97 24.94 -0.05 0.33 0.89 0.00 0.00 0.00 2.84 0.67 -1.24
2014-5-24T22:58:7.490 27.60 24.59 295.97 24.94 -0.05 0.33 0.89 -6.04 20.90 -3.81 2.78 0.75 -1.17
2014-5-24T22:58:8.497 25.83 24.59 310.47 24.94 -0.05 0.33 0.89 -6.04 20.90 -3.81 2.71 0.68 -1.13
2014-5-24T22:58:9.503 27.15 24.59 310.43 24.94 -0.05 0.33 0.89 -5.89 20.72 -3.30 2.62 0.76 -1.05
2014-5-24T22:58:10.510 27.24 24.59 281.44 24.94 -0.06 0.33 0.89 -5.89 20.72 -3.30 2.98 0.86 -1.08
2014-5-24T22:58:11.517 27.30 24.59 281.47 24.94 -0.05 0.34 0.89 -5.86 20.84 -3.20 2.86 0.50 -1.24
2014-5-24T22:58:12.525 27.37 24.59 281.47 24.94 -0.06 0.34 0.89 -5.86 20.84 -3.20 2.81 0.58 -1.08
2014-5-24T22:58:13.533 27.37 24.59 281.43 24.94 -0.05 0.33 0.89 -6.16 21.00 -3.60 2.80 0.86 -1.14
2014-5-24T22:58:14.541 27.39 24.59 274.18 24.94 -0.05 0.33 0.91 -6.16 21.00 -3.60 2.67 0.63 -1.01
2014-5-24T22:58:15.548 27.39 24.59 274.18 24.94 -0.05 0.33 0.91 -6.07 20.69 -3.42 2.66 0.65 -1.21
2014-5-24T22:58:16.555 27.39 24.59 274.22 24.94 -0.06 0.34 0.89 -6.07 20.69 -3.42 2.85 0.82 -1.07
2014-5-24T22:58:17.563 27.35 24.59 266.97 24.94 -0.05 0.33 0.89 -6.01 20.66 -3.48 2.69 0.85 -1.27
2014-5-24T22:58:18.570 27.37 24.59 266.97 24.94 -0.05 0.33 0.89 -6.01 20.66 -3.48 2.85 0.60 -1.12
2014-5-24T22:58:19.578 27.39 24.59 303.21 24.94 -0.05 0.34 0.89 -5.98 20.84 -3.57 2.87 0.69 -1.21
2014-5-24T22:58:20.585 27.39 24.59 303.17 24.94 -0.06 0.31 0.89 -5.98 20.84 -3.57 2.76 0.60 -1.27
2014-5-24T22:58:21.593 27.37 24.59 317.67 24.94 -0.05 0.33 0.91 -5.95 21.00 -3.88 2.73 0.70 -1.21
2014-5-24T22:58:22.601 27.37 24.59 317.68 24.94 -0.06 0.31 0.89 -5.95 21.00 -3.88 2.69 0.86 -1.14
2014-5-24T22:58:23.609 27.44 24.59 288.68 24.94 -0.05 0.33 0.89 -5.98 20.90 -3.63 2.82 0.65 -1.17
2014-5-24T22:58:24.616 27.35 24.59 288.68 24.94 -0.05 0.31 0.89 -5.98 20.90 -3.63 2.77 0.69 -1.20
2014-5-24T22:58:25.624 27.30 24.59 288.68 24.94 -0.05 0.34 0.91 -6.01 20.81 -4.09 2.87 0.66 -1.09
2014-5-24T22:58:26.633 27.35 24.59 288.68 24.94 -0.05 0.33 0.89 -6.01 20.81 -4.09 2.85 0.66 -1.19
2014-5-24T22:58:27.640 27.35 24.59 281.43 24.94 -0.05 0.36 0.91 -5.77 20.84 -3.63 2.75 0.90 -1.18
2014-5-24T22:58:28.653 27.35 24.59 281.43 24.94 -0.05 0.36 0.91 -5.77 20.84 -3.63 2.66 0.69 -1.18
2014-5-24T22:58:29.661 27.35 24.59 310.42 24.94 -0.05 0.33 0.91 -5.98 20.72 -3.23 2.85 0.88 -1.05
2014-5-24T22:58:30.669 27.39 24.59 310.42 24.94 -0.05 0.33 0.91 -5.98 20.72 -3.23 2.82 0.52 -1.14
2014-5-24T22:58:31.676 27.35 24.59 310.41 24.94 -0.05 0.31 0.89 -5.95 20.78 -3.48 2.71 0.68 -1.19
2014-5-24T22:58:32.684 27.33 24.59 288.67 24.94 -0.05 0.33 0.91 -5.95 20.78 -3.48 2.82 0.69 -1.18
2014-5-24T22:58:33.695 27.44 24.59 288.67 24.94 -0.05 0.33 0.91 -5.95 20.78 -3.78 2.88 0.69 -1.03
2014-5-24T22:58:34.702 27.39 24.59 288.67 24.94 -0.05 0.33 0.89 -5.86 20.81 -4.03 2.69 0.63 -1.22
2014-5-24T22:58:35.709 27.37 24.59 288.68 24.94 -0.06 0.33 0.91 -5.86 20.81 -4.03 2.81 0.60 -1.19
2014-5-24T22:58:36.717 27.39 24.59 295.93 24.94 -0.06 0.33 0.91 -5.86 20.81 -4.03 2.91 0.64 -1.16
2014-5-24T22:58:37.724 27.37 24.59 295.92 24.94 -0.05 0.31 0.91 -5.86 20.81 -3.48 2.72 0.66 -1.11
2014-5-24T22:58:38.732 27.39 24.59 295.92 24.94 -0.06 0.33 0.89 -6.04 20.94 -3.54 2.58 0.84 -1.05
2014-5-24T22:58:39.739 27.39 24.59 295.92 24.94 -0.05 0.33 0.91 -6.04 20.94 -3.54 2.91 0.63 -1.29
2014-5-24T22:58:40.747 27.30 24.59 310.41 24.94 -0.05 0.34 0.91 -5.98 20.90 -3.48 2.76 0.63 -1.11
2014-5-24T22:58:41.754 27.39 24.59 310.41 24.94 -0.06 0.33 0.89 -5.98 20.90 -3.48 2.69 0.64 -1.02
2014-5-24T22:58:42.762 27.39 24.59 295.92 24.94 -0.05 0.33 0.91 -5.89 20.84 -3.45 2.79 0.82 -1.04
2014-5-24T22:58:43.770 27.35 24.59 295.92 24.94 -0.06 0.33 0.89 -5.89 20.84 -3.45 2.92 0.76 -1.21
2014-5-24T22:58:44.777 27.37 24.59 281.42 24.94 -0.05 0.33 0.89 -6.01 20.81 -3.45 2.75 0.84 -1.23
2014-5-24T22:58:45.784 27.37 24.59 281.42 24.94 -0.05 0.33 0.88 -6.01 20.81 -3.45 2.75 0.70 -1.09
2014-5-24T22:58:46.793 27.35 24.59 281.42 24.94 -0.05 0.33 0.89 -6.01 20.81 -3.66 2.81 0.76 -1.29
2014-5-24T22:58:47.801 27.33 24.59 303.16 24.94 -0.06 0.31 0.91 -6.01 20.81 -3.66 2.89 0.98 -1.26
2014-5-24T22:58:48.808 27.37 24.59 303.17 24.94 -0.06 0.31 0.91 -5.95 20.81 -3.69 2.83 0.76 -1.19
2014-5-24T22:58:49.816 27.33 24.59 324.91 24.94 -0.05 0.33 0.89 -5.95 20.81 -3.69 2.59 0.71 -1.15
