# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T23:3:10.508 2.45 0.00 390.03 24.76 -0.05 0.33 0.91 0.00 0.00 0.00 2.80 0.63 -1.17
2014-5-24T23:3:11.515 25.65 24.41 390.03 24.76 -0.05 0.34 0.91 -6.01 20.72 -3.88 2.80 0.73 -1.01
2014-5-24T23:3:12.523 26.94 24.44 397.27 24.76 -0.06 0.33 0.91 -6.01 20.72 -3.88 2.81 0.77 -1.20
2014-5-24T23:3:13.530 27.03 24.44 397.26 24.76 -0.05 0.31 0.89 -5.98 20.75 -3.72 2.50 0.73 -1.28
2014-5-24T23:3:14.538 27.09 24.44 368.28 24.76 -0.05 0.31 0.89 -5.98 20.75 -3.72 2.91 0.70 -1.02
2014-5-24T23:3:15.545 27.18 24.44 368.27 24.76 -0.05 0.33 0.92 -5.89 21.03 -3.63 2.81 0.72 -1.17
2014-5-24T23:3:16.553 27.16 24.44 390.01 24.76 -0.06 0.31 0.89 -5.89 21.03 -3.63 2.65 0.80 -1.04
2014-5-24T23:3:17.560 27.14 24.44 390.02 24.76 -0.05 0.33 0.91 -5.80 20.72 -3.39 2.69 0.70 -1.13
2014-5-24T23:3:18.570 27.16 24.44 375.53 24.76 -0.05 0.33 0.91 -5.80 20.72 -3.39 2.84 0.72 -1.15
2014-5-24T23:3:19.578 27.18 24.44 375.52 24.76 -0.06 0.34 0.91 -5.89 20.87 -3.33 2.69 0.79 -1.21
2014-5-24T23:3:20.585 27.14 24.44 382.77 24.76 -0.05 0.33 0.89 -6.16 20.69 -3.42 2.72 0.69 -1.04
2014-5-24T23:3:21.593 27.16 24.44 382.77 24.76 -0.05 0.31 0.91 -6.16 20.69 -3.42 2.75 0.55 -1.00
2014-5-24T23:3:22.600 27.21 24.44 382.75 24.76 -0.05 0.31 0.91 -6.16 20.69 -3.42 2.78 0.71 -1.08
2014-5-24T23:3:23.607 27.18 24.44 382.75 24.76 -0.06 0.34 0.89 -6.07 20.90 -3.85 2.78 0.69 -1.43
2014-5-24T23:3:24.614 27.16 24.44 382.76 24.76 -0.05 0.33 0.91 -6.07 20.90 -3.85 2.56 0.51 -1.07
2014-5-24T23:3:25.622 27.14 24.44 368.27 24.76 -0.05 0.33 0.91 -6.23 20.54 -3.30 2.88 0.74 -1.23
2014-5-24T23:3:26.629 27.18 24.44 368.27 24.76 -0.05 0.33 0.91 -6.23 20.54 -3.30 2.61 0.75 -1.09
2014-5-24T23:3:27.637 27.12 24.44 375.52 24.76 -0.05 0.33 0.89 -5.95 20.90 -3.48 2.79 0.74 -1.11
2014-5-24T23:3:28.650 27.16 24.44 375.52 24.76 -0.05 0.34 0.89 -6.04 20.75 -3.27 2.72 0.78 -1.22
2014-5-24T23:3:29.658 27.13 24.41 375.52 24.76 -0.05 0.30 0.91 -6.04 20.75 -3.27 2.73 0.60 -1.16
2014-5-24T23:3:30.666 27.15 24.41 375.51 24.76 -0.05 0.33 0.91 -6.10 20.78 -3.85 2.73 0.66 -1.16
2014-5-24T23:3:31.673 27.06 24.41 397.24 24.76 -0.06 0.33 0.89 -6.10 20.78 -3.85 2.96 0.58 -1.23
2014-5-24T23:3:32.681 27.11 24.41 397.25 24.76 -0.06 0.31 0.89 -6.20 20.81 -3.72 2.95 0.68 -1.14
2014-5-24T23:3:33.693 27.06 24.41 382.76 24.76 -0.05 0.34 0.89 -6.20 20.81 -3.72 2.77 0.68 -1.13
2014-5-24T23:3:34.701 27.11 24.41 382.76 24.76 -0.05 0.33 0.89 -6.16 20.90 -3.85 2.75 0.62 -0.97
2014-5-24T23:3:35.709 27.17 24.41 382.76 24.76 -0.05 0.33 0.89 -6.16 20.90 -3.85 2.69 0.78 -1.08
