# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-24T21:34:0.765 24.12 21.91 1497.69 22.35 -0.06 0.33 0.89 0.00 0.00 0.00 2.44 1.11 -1.34
2014-5-24T21:34:1.772 22.54 21.91 1497.70 22.35 -0.05 0.33 0.89 -6.07 21.06 -1.95 2.56 0.82 -1.16
2014-5-24T21:34:2.780 23.88 21.91 1490.49 22.35 -0.06 0.31 0.91 -6.07 21.06 -1.95 2.43 0.95 -1.30
2014-5-24T21:34:3.787 24.03 21.94 1490.49 22.35 -0.06 0.31 0.89 -6.38 21.21 -1.43 2.40 0.92 -1.16
2014-5-24T21:34:4.795 24.01 21.94 1526.53 22.35 -0.05 0.36 0.89 -6.38 21.21 -1.43 2.49 0.82 -1.20
2014-5-24T21:34:5.803 24.15 21.94 1526.52 22.35 -0.05 0.33 0.89 -6.47 21.30 -2.08 2.57 0.82 -1.25
2014-5-24T21:34:6.810 24.22 21.94 1497.69 22.35 -0.05 0.33 0.89 -6.47 21.30 -2.08 2.62 0.98 -1.29
2014-5-24T21:34:7.818 24.15 21.94 1497.65 22.35 -0.05 0.34 0.89 -6.20 21.27 -1.68 2.49 1.04 -1.10
2014-5-24T21:34:8.825 24.20 21.94 1519.27 22.35 -0.05 0.34 0.91 -6.20 21.27 -1.68 2.56 0.85 -1.27
2014-5-24T21:34:9.833 24.15 21.94 1519.30 22.35 -0.05 0.31 0.89 -6.32 21.18 -2.01 2.65 0.83 -1.21
2014-5-24T21:34:10.840 24.13 21.94 1519.30 22.35 -0.06 0.34 0.89 -6.32 21.18 -2.01 2.49 0.84 -1.17
2014-5-24T21:34:11.848 24.10 21.94 1497.68 22.35 -0.06 0.34 0.89 -6.50 21.18 -2.20 2.59 0.86 -1.37
2014-5-24T21:34:12.856 24.08 21.94 1497.64 22.35 -0.06 0.33 0.89 -6.41 21.30 -1.92 2.53 1.02 -1.14
2014-5-24T21:34:13.862 24.10 21.94 1490.43 22.35 -0.06 0.33 0.89 -6.41 21.30 -1.92 2.49 1.13 -1.30
2014-5-24T21:34:14.870 24.20 21.94 1490.41 22.35 -0.05 0.33 0.89 -6.41 21.06 -2.32 2.38 0.95 -1.14
2014-5-24T21:34:15.878 24.13 21.94 1504.82 22.35 -0.05 0.34 0.91 -6.41 21.06 -2.32 2.72 0.92 -1.31
2014-5-24T21:34:16.885 24.15 21.94 1504.90 22.35 -0.05 0.34 0.91 -6.41 21.06 -2.32 2.56 0.90 -1.31
2014-5-24T21:34:17.893 24.17 21.94 1504.90 22.35 -0.08 0.31 0.91 -6.35 21.18 -2.01 2.78 0.95 -1.24
2014-5-24T21:34:18.901 24.15 21.94 1504.84 22.35 -0.05 0.33 0.89 -6.53 21.15 -2.08 2.62 0.86 -1.27
2014-5-24T21:34:19.909 24.08 21.94 1519.25 22.35 -0.05 0.33 0.89 -6.53 21.15 -2.08 2.75 0.98 -1.05
2014-5-24T21:34:20.917 24.15 21.94 1519.33 22.35 -0.06 0.33 0.89 -6.50 21.15 -2.38 2.52 0.79 -1.31
2014-5-24T21:34:21.925 24.17 21.94 1483.29 22.35 -0.05 0.36 0.91 -6.50 21.15 -2.38 2.62 1.00 -1.32
2014-5-24T21:34:22.933 24.05 21.91 1483.22 22.35 -0.05 0.33 0.89 -6.41 21.06 -2.32 2.50 0.84 -1.18
2014-5-24T21:34:23.940 24.05 21.91 1497.63 22.35 -0.05 0.34 0.91 -6.41 21.06 -2.32 2.60 0.96 -1.30
2014-5-24T21:34:24.948 24.09 21.91 1497.64 22.35 -0.05 0.33 0.89 -6.44 21.06 -2.04 2.62 0.92 -1.34
2014-5-24T21:34:25.954 24.05 21.91 1497.64 22.35 -0.06 0.33 0.91 -6.44 21.06 -2.04 2.53 0.89 -1.36
2014-5-24T21:34:26.962 24.09 21.91 1497.64 22.35 -0.05 0.31 0.89 -6.44 21.15 -1.98 2.46 0.76 -1.10
2014-5-24T21:34:27.969 24.12 21.91 1497.63 22.35 -0.05 0.33 0.91 -6.44 21.15 -1.98 2.49 0.97 -1.17
2014-5-24T21:34:28.977 24.09 21.91 1468.80 22.35 -0.05 0.33 0.89 -6.56 21.24 -2.23 2.40 0.92 -1.47
2014-5-24T21:34:29.985 24.09 21.91 1468.83 22.35 -0.05 0.31 0.89 -6.56 21.24 -2.23 2.61 1.06 -1.23
2014-5-24T21:34:30.991 24.14 21.91 1497.66 22.35 -0.05 0.33 0.91 -6.44 21.00 -2.11 2.48 0.89 -1.21
2014-5-24T21:34:31.999 24.12 21.91 1497.63 22.35 -0.05 0.34 0.91 -6.44 21.00 -2.11 2.62 0.98 -1.05
2014-5-24T21:34:33.006 24.09 21.91 1504.84 22.35 -0.05 0.33 0.91 -6.41 21.12 -2.23 2.60 0.88 -1.30
2014-5-24T21:34:34.014 24.09 21.91 1504.80 22.35 -0.06 0.33 0.91 -6.41 21.12 -2.23 2.62 1.03 -1.13
