2014-5-25T19:42:01 0.27 -0.64 0.64
2014-5-25T19:42:02 0.02 0.64 0.83
2014-5-25T19:42:03 0.61 -0.50 0.36
2014-5-25T19:42:04 0.25 -0.72 0.02
2014-5-25T19:42:05 0.22 -0.88 0.39
2014-5-25T19:42:06 0.84 -0.31 0.34
2014-5-25T19:42:07 0.92 0.11 0.75
2014-5-25T19:42:08 -0.22 -0.13 0.73
2014-5-25T19:42:09 0.23 0.19 0.48
2014-5-25T19:42:10 0.03 0.13 1.19
2014-5-25T19:42:11 0.16 0.02 1.00
2014-5-25T19:42:11 0.14 0.06 0.98
2014-5-25T19:42:12 0.14 0.08 0.98
2014-5-25T19:42:13 0.16 0.06 0.98
2014-5-25T19:42:14 0.16 0.06 0.98
2014-5-25T19:42:16 0.13 0.08 1.00
2014-5-25T19:42:17 0.14 0.05 1.02
2014-5-25T19:42:17 0.13 0.09 1.02
2014-5-25T19:42:19 0.09 0.05 1.03
2014-5-25T19:42:20 0.16 0.08 0.98
2014-5-25T19:42:21 0.14 0.06 0.98
2014-5-25T19:42:22 0.17 0.08 0.97
2014-5-25T19:42:23 0.11 0.09 0.89
2014-5-25T19:42:24 0.17 0.13 0.95
2014-5-25T19:42:25 0.14 0.08 0.94
2014-5-25T19:42:26 0.11 0.08 1.02
2014-5-25T19:42:27 0.11 0.06 1.02
2014-5-25T19:42:28 0.17 0.13 0.95
2014-5-25T19:42:29 0.19 0.05 0.94
2014-5-25T19:42:30 0.17 0.06 1.00
2014-5-25T19:42:31 0.20 0.05 0.95
2014-5-25T19:42:32 0.17 0.00 0.95
2014-5-25T19:42:33 0.06 0.09 1.08
2014-5-25T19:42:34 0.13 0.00 1.03
2014-5-25T19:42:35 0.11 0.02 0.97
2014-5-25T19:42:36 0.13 0.09 0.98
2014-5-25T19:42:37 0.19 0.05 1.03
2014-5-25T19:42:38 0.13 0.02 1.03
2014-5-25T19:42:39 0.14 0.06 0.98
2014-5-25T19:42:40 0.14 0.03 0.97
2014-5-25T19:42:41 0.16 0.03 0.95
2014-5-25T19:42:42 0.14 0.03 0.98
2014-5-25T19:42:43 0.14 0.09 1.00
2014-5-25T19:42:43 0.16 0.06 1.00
